#--------------------------------------------------------------------------------
# Auto-generated by Migen (--------) & LiteX (2c4b8963) on 2020-03-17 21:32:20
#--------------------------------------------------------------------------------
csr_base,ctrl,0x82000000,,
csr_base,ethphy,0x82000800,,
csr_register,ctrl_reset,0x82000000,1,rw
csr_register,ctrl_scratch,0x82000004,4,rw
csr_register,ctrl_bus_errors,0x82000014,4,ro
csr_register,ethphy_crg_reset,0x82000800,1,rw
csr_register,ethphy_mdio_w,0x82000804,1,rw
csr_register,ethphy_mdio_r,0x82000808,1,ro
constant,config_clock_frequency,125000000,,
constant,config_cpu_type_none,None,,
constant,config_cpu_variant_standard,None,,
constant,config_csr_data_width,8,,
constant,config_csr_alignment,32,,
memory_region,csr,0x82000000,65536,io
